cycle	date	state	hpi	year	month	type
1975M02	2/1/1975	VT	26.8072823	1975	2	State
1975M02	2/1/1975	WA	17.52127214	1975	2	State
1975M02	2/1/1975	WI	28.47495072	1975	2	State
1975M02	2/1/1975	WV	41.88789039	1975	2	State
1975M02	2/1/1975	WY	32.03523506	1975	2	State
1975M02	2/1/1975	US.NSA	23.68717868	1975	2	US
1975M02	2/1/1975	US.SA	23.6655063	1975	2	US
1975M03	3/1/1975	AK	35.48014351	1975	3	State
1975M03	3/1/1975	AL	35.79252245	1975	3	State
1975M03	3/1/1975	AR	37.41827979	1975	3	State
1975M03	3/1/1975	AZ	29.92279151	1975	3	State
1975M03	3/1/1975	CA	15.91905771	1975	3	State
1975M03	3/1/1975	CO	20.10403642	1975	3	State
1975M03	3/1/1975	CT	25.47766468	1975	3	State
1975M03	3/1/1975	DC	18.46457675	1975	3	State
1975M03	3/1/1975	DE	27.21575008	1975	3	State
1975M03	3/1/1975	FL	33.98135625	1975	3	State
1975M03	3/1/1975	GA	30.42750408	1975	3	State
1975M03	3/1/1975	HI	26.61156267	1975	3	State
1975M03	3/1/1975	IA	34.0177683	1975	3	State
1975M03	3/1/1975	ID	31.97511408	1975	3	State
1975M03	3/1/1975	IL	25.98705415	1975	3	State
1975M03	3/1/1975	IN	33.09324338	1975	3	State
1975M03	3/1/1975	KS	34.24596156	1975	3	State
1975M03	3/1/1975	KY	31.50192514	1975	3	State
1975M03	3/1/1975	LA	34.27078216	1975	3	State
1975M03	3/1/1975	MA	15.69514714	1975	3	State
1975M03	3/1/1975	MD	26.79217665	1975	3	State
1975M03	3/1/1975	ME	28.36808285	1975	3	State
1975M03	3/1/1975	MI	25.08805528	1975	3	State
1975M03	3/1/1975	MN	25.85870246	1975	3	State
1975M03	3/1/1975	MO	33.25869528	1975	3	State
1975M03	3/1/1975	MS	41.68692508	1975	3	State
1975M03	3/1/1975	MT	27.60698294	1975	3	State
1975M03	3/1/1975	NC	28.75244917	1975	3	State
1975M03	3/1/1975	ND	39.83478887	1975	3	State
1975M03	3/1/1975	NE	31.2421705	1975	3	State
1975M03	3/1/1975	NH	22.71749803	1975	3	State
1975M03	3/1/1975	NJ	22.10651522	1975	3	State
1975M03	3/1/1975	NM	28.62257816	1975	3	State
1975M03	3/1/1975	NV	28.50309927	1975	3	State
1975M03	3/1/1975	NY	23.14441144	1975	3	State
1975M03	3/1/1975	OH	30.50651073	1975	3	State
1975M03	3/1/1975	OK	37.8012712	1975	3	State
1975M03	3/1/1975	OR	20.66700259	1975	3	State
1975M03	3/1/1975	PA	29.31674171	1975	3	State
1975M03	3/1/1975	RI	20.89721804	1975	3	State
1975M03	3/1/1975	SC	31.48378876	1975	3	State
1975M03	3/1/1975	SD	36.98092805	1975	3	State
1975M03	3/1/1975	TN	32.33934401	1975	3	State
1975M03	3/1/1975	TX	33.53907826	1975	3	State
1975M03	3/1/1975	UT	25.24409963	1975	3	State
1975M03	3/1/1975	VA	28.39859803	1975	3	State
1975M03	3/1/1975	VT	27.05247818	1975	3	State
1975M03	3/1/1975	WA	17.63427454	1975	3	State
1975M03	3/1/1975	WI	28.85436981	1975	3	State
1975M03	3/1/1975	WV	42.967682	1975	3	State
1975M03	3/1/1975	WY	32.55174783	1975	3	State
1975M03	3/1/1975	US.NSA	23.93248398	1975	3	US
1975M03	3/1/1975	US.SA	23.88149784	1975	3	US
1975M04	4/1/1975	AK	36.02433398	1975	4	State
1975M04	4/1/1975	AL	36.10969103	1975	4	State
1975M04	4/1/1975	AR	37.64250537	1975	4	State
1975M04	4/1/1975	AZ	30.29015037	1975	4	State
1975M04	4/1/1975	CA	16.23302994	1975	4	State
1975M04	4/1/1975	CO	20.31191792	1975	4	State
1975M04	4/1/1975	CT	25.69658907	1975	4	State
1975M04	4/1/1975	DC	18.64475087	1975	4	State
1975M04	4/1/1975	DE	27.33932406	1975	4	State
1975M04	4/1/1975	FL	36.1672646	1975	4	State
1975M04	4/1/1975	GA	30.48462984	1975	4	State
1975M04	4/1/1975	HI	26.67251194	1975	4	State
1975M04	4/1/1975	IA	34.38591534	1975	4	State
1975M04	4/1/1975	ID	31.91605786	1975	4	State
1975M04	4/1/1975	IL	26.2728888	1975	4	State
1975M04	4/1/1975	IN	33.47515713	1975	4	State
1975M04	4/1/1975	KS	34.67607363	1975	4	State
1975M04	4/1/1975	KY	31.5645787	1975	4	State
1975M04	4/1/1975	LA	34.72323003	1975	4	State
1975M04	4/1/1975	MA	15.6154685	1975	4	State
1975M04	4/1/1975	MD	26.82831653	1975	4	State
1975M04	4/1/1975	ME	28.22522611	1975	4	State
1975M04	4/1/1975	MI	25.27938884	1975	4	State
1975M04	4/1/1975	MN	26.06436547	1975	4	State
1975M04	4/1/1975	MO	34.39004678	1975	4	State
1975M04	4/1/1975	MS	41.58020336	1975	4	State
1975M04	4/1/1975	MT	27.94989112	1975	4	State
1975M04	4/1/1975	NC	28.96678209	1975	4	State
1975M04	4/1/1975	ND	39.90082404	1975	4	State
1975M04	4/1/1975	NE	31.20361851	1975	4	State
1975M04	4/1/1975	NH	22.98520054	1975	4	State
1975M04	4/1/1975	NJ	22.09021995	1975	4	State
1975M04	4/1/1975	NM	28.93841076	1975	4	State
1975M04	4/1/1975	NV	28.9455416	1975	4	State
1975M04	4/1/1975	NY	23.15288573	1975	4	State
1975M04	4/1/1975	OH	30.74553827	1975	4	State
1975M04	4/1/1975	OK	37.80521622	1975	4	State
