per_idx	cat_idx	dt_idx	et_idx	geo_idx	is_adj	val
10	4	1	0	3	1	305
10	4	1	0	4	1	443
10	4	1	0	5	1	353
10	4	2	0	1	1	1043
10	5	1	0	1	0	120
10	5	1	0	2	0	22.7
10	5	1	0	3	0	28.6
10	5	1	0	4	0	37.6
10	5	1	0	5	0	31.1
10	5	2	0	1	0	96.8
11	2	1	0	1	0	75.8
11	2	1	0	2	0	14.2
11	2	1	0	3	0	16.8
11	2	1	0	4	0	23.4
11	2	1	0	5	0	21.5
11	2	2	0	1	0	57.8
11	2	3	0	1	0	12.6
11	4	1	0	1	1	1416
11	4	1	0	2	1	246
11	4	1	0	3	1	326
11	4	1	0	4	1	500
11	4	1	0	5	1	344
11	4	2	0	1	1	1163
11	5	1	0	1	0	104.7
11	5	1	0	2	0	18.6
11	5	1	0	3	0	23.4
11	5	1	0	4	0	37.3
11	5	1	0	5	0	25.5
11	5	2	0	1	0	85.4
12	2	1	0	1	0	73.5
12	2	1	0	2	0	12.8
12	2	1	0	3	0	13.5
12	2	1	0	4	0	23.3
12	2	1	0	5	0	23.9
12	2	2	0	1	0	55.1
12	2	3	0	1	0	13.5
12	4	1	0	1	1	1601
12	4	1	0	2	1	256
12	4	1	0	3	1	395
12	4	1	0	4	1	592
12	4	1	0	5	1	358
12	4	2	0	1	1	1410
12	5	1	0	1	0	95.6
12	5	1	0	2	0	15.1
12	5	1	0	3	0	19.3
12	5	1	0	4	0	36.4
12	5	1	0	5	0	24.8
12	5	2	0	1	0	77
13	1	1	0	1	1	1092
13	1	1	0	2	1	246
13	1	1	0	3	1	253
13	1	1	0	4	1	331
13	1	1	0	5	1	262
13	1	2	0	1	1	846
13	1	3	0	1	1	179
13	2	1	0	1	0	62.6
13	2	1	0	2	0	10.7
13	2	1	0	3	0	10
13	2	1	0	4	0	22.6
13	2	1	0	5	0	19.2
13	2	2	0	1	0	46.8
13	2	3	0	1	0	11.5
13	4	1	0	1	1	1460
13	4	1	0	2	1	274
13	4	1	0	3	1	358
13	4	1	0	4	1	506
13	4	1	0	5	1	322
13	4	2	0	1	1	1211
13	5	1	0	1	0	86
13	5	1	0	2	0	11.9
13	5	1	0	3	0	15.3
13	5	1	0	4	0	34.3
13	5	1	0	5	0	24.5
13	5	2	0	1	0	68.4
14	1	1	0	1	1	1088
14	1	1	0	2	1	232
14	1	1	0	3	1	256
14	1	1	0	4	1	305
14	1	1	0	5	1	295
14	1	2	0	1	1	868
14	1	3	0	1	1	149
14	2	1	0	1	0	68.1
14	2	1	0	2	0	10.2
14	2	1	0	3	0	12.2
14	2	1	0	4	0	23.2
14	2	1	0	5	0	22.5
14	2	2	0	1	0	52.7
14	2	3	0	1	0	10.5
14	4	1	0	1	1	1503
14	4	1	0	2	1	269
14	4	1	0	3	1	383
14	4	1	0	4	1	487
14	4	1	0	5	1	364
14	4	2	0	1	1	1208
14	5	1	0	1	0	90.7
14	5	1	0	2	0	12.4
14	5	1	0	3	0	15.3
14	5	1	0	4	0	35.8
14	5	1	0	5	0	27.1
14	5	2	0	1	0	71.5
15	1	1	0	1	1	955
15	1	1	0	2	1	166
15	1	1	0	3	1	189
15	1	1	0	4	1	273
15	1	1	0	5	1	327
15	1	2	0	1	1	729
15	1	3	0	1	1	166
15	2	1	0	1	0	89
15	2	1	0	2	0	14
15	2	1	0	3	0	16.4
15	2	1	0	4	0	27.1
15	2	1	0	5	0	31.5
15	2	2	0	1	0	67.7
15	2	3	0	1	0	15
15	4	1	0	1	1	1109
15	4	1	0	2	1	146
15	4	1	0	3	1	206
15	4	1	0	4	1	428
15	4	1	0	5	1	329
15	4	2	0	1	1	904
15	5	1	0	1	0	90.5
15	5	1	0	2	0	10.1
15	5	1	0	3	0	13.7
15	5	1	0	4	0	38
15	5	1	0	5	0	28.7
15	5	2	0	1	0	73.5
16	1	1	0	1	1	1016
16	1	1	0	2	1	189
16	1	1	0	3	1	244
16	1	1	0	4	1	286
16	1	1	0	5	1	297
16	1	2	0	1	1	778
16	1	3	0	1	1	181
16	2	1	0	1	0	101.1
16	2	1	0	2	0	20.1
16	2	1	0	3	0	26.1
16	2	1	0	4	0	27.3
16	2	1	0	5	0	27.7
16	2	2	0	1	0	78.7
16	2	3	0	1	0	16.8
16	4	1	0	1	1	1289
16	4	1	0	2	1	218
16	4	1	0	3	1	288
16	4	1	0	4	1	466
16	4	1	0	5	1	317
16	4	2	0	1	1	1049
16	5	1	0	1	0	123
16	5	1	0	2	0	22
16	5	1	0	3	0	29
16	5	1	0	4	0	42.9
16	5	1	0	5	0	29.1
16	5	2	0	1	0	101
17	1	1	0	1	1	1052
17	1	1	0	2	1	224
17	1	1	0	3	1	240
17	1	1	0	4	1	302
17	1	1	0	5	1	286
17	1	2	0	1	1	758
17	1	3	0	1	1	231
17	2	1	0	1	0	103.4
17	2	1	0	2	0	22.9
17	2	1	0	3	0	25.6
17	2	1	0	4	0	28.3
17	2	1	0	5	0	26.7
17	2	2	0	1	0	76.1
17	2	3	0	1	0	21.4
17	4	1	0	1	1	1271
17	4	1	0	2	1	215
17	4	1	0	3	1	298
17	4	1	0	4	1	458
17	4	1	0	5	1	300
17	4	2	0	1	1	1009
17	5	1	0	1	0	130.2
17	5	1	0	2	0	23.5
17	5	1	0	3	0	33.4
17	5	1	0	4	0	45
17	5	1	0	5	0	28.3
17	5	2	0	1	0	103.9
18	1	1	0	1	1	958
18	1	1	0	2	1	176
18	1	1	0	3	1	213
18	1	1	0	4	1	285
18	1	1	0	5	1	284
18	1	2	0	1	1	749
18	1	3	0	1	1	141
18	2	1	0	1	0	94.8
18	2	1	0	2	0	18
18	2	1	0	3	0	24.2
18	2	1	0	4	0	26.2
18	2	1	0	5	0	26.5
18	2	2	0	1	0	75.8
18	2	3	0	1	0	12.8
18	4	1	0	1	1	1247
18	4	1	0	2	1	208
18	4	1	0	3	1	323
18	4	1	0	4	1	408
18	4	1	0	5	1	308
18	4	2	0	1	1	1003
18	5	1	0	1	0	122.8
18	5	1	0	2	0	22.9
18	5	1	0	3	0	36
18	5	1	0	4	0	36.5
18	5	1	0	5	0	27.4
18	5	2	0	1	0	100.7
19	1	1	0	1	1	999
19	1	1	0	2	1	219
19	1	1	0	3	1	224
19	1	1	0	4	1	268
19	1	1	0	5	1	288
19	1	2	0	1	1	732
19	1	3	0	1	1	190
19	2	1	0	1	0	86.3
19	2	1	0	2	0	19.3
19	2	1	0	3	0	21.1
19	2	1	0	4	0	22.4
19	2	1	0	5	0	23.5
19	2	2	0	1	0	65.8
19	2	3	0	1	0	14.7
19	4	1	0	1	1	1197
19	4	1	0	2	1	198
19	4	1	0	3	1	306
19	4	1	0	4	1	394
19	4	1	0	5	1	299
19	4	2	0	1	1	947
19	5	1	0	1	0	114.3
19	5	1	0	2	0	19.4
19	5	1	0	3	0	32.1
19	5	1	0	4	0	36.3
19	5	1	0	5	0	26.4
19	5	2	0	1	0	92.3
20	1	1	0	1	1	994
20	1	1	0	2	1	208
20	1	1	0	3	1	230
20	1	1	0	4	1	270
20	1	1	0	5	1	286
20	1	2	0	1	1	732
20	1	3	0	1	1	197
20	2	1	0	1	0	93.7
20	2	1	0	2	0	20.1
20	2	1	0	3	0	22.5
20	2	1	0	4	0	24.8
20	2	1	0	5	0	26.2
20	2	2	0	1	0	70
20	2	3	0	1	0	18
20	4	1	0	1	1	1344
20	4	1	0	2	1	229
20	4	1	0	3	1	283
20	4	1	0	4	1	479
20	4	1	0	5	1	353
20	4	2	0	1	1	1091
20	5	1	0	1	0	130.3
20	5	1	0	2	0	23.6
20	5	1	0	3	0	31.4
20	5	1	0	4	0	44.8
20	5	1	0	5	0	30.5
20	5	2	0	1	0	105.4
21	1	1	0	1	1	984
21	1	1	0	2	1	205
21	1	1	0	3	1	220
21	1	1	0	4	1	264
21	1	1	0	5	1	295
21	1	2	0	1	1	704
21	1	3	0	1	1	217
21	2	1	0	1	0	84.9
21	2	1	0	2	0	18.1
21	2	1	0	3	0	20.6
21	2	1	0	4	0	22.5
21	2	1	0	5	0	23.7
21	2	2	0	1	0	62.3
21	2	3	0	1	0	17.4
21	4	1	0	1	1	1097
21	4	1	0	2	1	194
