date	state	hpi	year	month	type
3/1/1975	NJ	22.106887	1975	3	State
3/1/1975	NM	28.71613092	1975	3	State
3/1/1975	NV	28.48353798	1975	3	State
3/1/1975	NY	23.16950407	1975	3	State
3/1/1975	OH	30.47590758	1975	3	State
3/1/1975	OK	37.80662335	1975	3	State
3/1/1975	OR	20.6731997	1975	3	State
3/1/1975	PA	29.36458335	1975	3	State
3/1/1975	RI	20.89863414	1975	3	State
3/1/1975	SC	31.48780524	1975	3	State
3/1/1975	SD	37.02156745	1975	3	State
3/1/1975	TN	32.32976853	1975	3	State
3/1/1975	TX	33.54214841	1975	3	State
3/1/1975	UT	25.25822193	1975	3	State
3/1/1975	VA	28.43185583	1975	3	State
3/1/1975	VT	27.05010585	1975	3	State
3/1/1975	WA	17.65785279	1975	3	State
3/1/1975	WI	28.92762867	1975	3	State
3/1/1975	WV	43.34931957	1975	3	State
3/1/1975	WY	32.76284057	1975	3	State
3/1/1975	US.NSA	23.93354438	1975	3	State
3/1/1975	US.SA	23.88232127	1975	3	State
4/1/1975	AK	35.98026489	1975	4	State
4/1/1975	AL	36.12049848	1975	4	State
4/1/1975	AR	37.64263775	1975	4	State
4/1/1975	AZ	30.17947943	1975	4	State
4/1/1975	CA	16.22547911	1975	4	State
4/1/1975	CO	20.32706237	1975	4	State
4/1/1975	CT	25.66317165	1975	4	State
4/1/1975	DC	18.65594734	1975	4	State
4/1/1975	DE	27.38902228	1975	4	State
4/1/1975	FL	36.14970879	1975	4	State
4/1/1975	GA	30.53243187	1975	4	State
4/1/1975	HI	26.6437953	1975	4	State
4/1/1975	IA	34.33750945	1975	4	State
4/1/1975	ID	31.8387135	1975	4	State
4/1/1975	IL	26.322761	1975	4	State
4/1/1975	IN	33.72687359	1975	4	State
4/1/1975	KS	34.64526233	1975	4	State
4/1/1975	KY	31.48600625	1975	4	State
4/1/1975	LA	34.63791588	1975	4	State
4/1/1975	MA	15.61121144	1975	4	State
4/1/1975	MD	26.84008177	1975	4	State
4/1/1975	ME	28.21108922	1975	4	State
4/1/1975	MI	25.28945021	1975	4	State
4/1/1975	MN	26.04209418	1975	4	State
4/1/1975	MO	34.31246913	1975	4	State
4/1/1975	MS	41.59307974	1975	4	State
4/1/1975	MT	27.99408683	1975	4	State
4/1/1975	NC	28.94385033	1975	4	State
4/1/1975	ND	39.92086788	1975	4	State
4/1/1975	NE	31.23010459	1975	4	State
4/1/1975	NH	23.05162108	1975	4	State
4/1/1975	NJ	22.0946463	1975	4	State
4/1/1975	NM	29.02098353	1975	4	State
4/1/1975	NV	28.92508856	1975	4	State
4/1/1975	NY	23.16720152	1975	4	State
4/1/1975	OH	30.72475735	1975	4	State
4/1/1975	OK	37.81718106	1975	4	State
4/1/1975	OR	21.10437322	1975	4	State
4/1/1975	PA	29.56144441	1975	4	State
4/1/1975	RI	21.3264208	1975	4	State
4/1/1975	SC	31.66254995	1975	4	State
4/1/1975	SD	36.60112774	1975	4	State
4/1/1975	TN	32.45744711	1975	4	State
4/1/1975	TX	34.38331645	1975	4	State
4/1/1975	UT	25.50496433	1975	4	State
4/1/1975	VA	28.58027135	1975	4	State
4/1/1975	VT	27.27009002	1975	4	State
4/1/1975	WA	17.78758534	1975	4	State
4/1/1975	WI	29.2773768	1975	4	State
4/1/1975	WV	44.4544497	1975	4	State
4/1/1975	WY	33.26639437	1975	4	State
4/1/1975	US.NSA	24.25492036	1975	4	State
4/1/1975	US.SA	24.14999756	1975	4	State
5/1/1975	AK	36.57678642	1975	5	State
5/1/1975	AL	36.42184865	1975	5	State
5/1/1975	AR	37.86461705	1975	5	State
5/1/1975	AZ	30.3712304	1975	5	State
5/1/1975	CA	16.48681443	1975	5	State
5/1/1975	CO	20.49774094	1975	5	State
5/1/1975	CT	25.73308617	1975	5	State
5/1/1975	DC	18.91157173	1975	5	State
5/1/1975	DE	27.6226132	1975	5	State
5/1/1975	FL	36.43311702	1975	5	State
5/1/1975	GA	30.65326997	1975	5	State
5/1/1975	HI	26.77148437	1975	5	State
5/1/1975	IA	34.56630791	1975	5	State
5/1/1975	ID	31.86066815	1975	5	State
5/1/1975	IL	26.49252778	1975	5	State
5/1/1975	IN	33.89037733	1975	5	State
5/1/1975	KS	35.04036308	1975	5	State
5/1/1975	KY	31.68014078	1975	5	State
5/1/1975	LA	34.85877859	1975	5	State
5/1/1975	MA	15.58240938	1975	5	State
5/1/1975	MD	26.95754179	1975	5	State
5/1/1975	ME	28.14163369	1975	5	State
5/1/1975	MI	25.35807006	1975	5	State
5/1/1975	MN	26.26210269	1975	5	State
5/1/1975	MO	34.25243973	1975	5	State
5/1/1975	MS	41.5743754	1975	5	State
5/1/1975	MT	28.30721596	1975	5	State
5/1/1975	NC	29.12895932	1975	5	State
5/1/1975	ND	40.12341193	1975	5	State
5/1/1975	NE	31.18566956	1975	5	State
5/1/1975	NH	23.22997801	1975	5	State
5/1/1975	NJ	22.29297897	1975	5	State
5/1/1975	NM	29.23301349	1975	5	State
5/1/1975	NV	29.3237983	1975	5	State
5/1/1975	NY	23.30245367	1975	5	State
5/1/1975	OH	30.99222842	1975	5	State
5/1/1975	OK	37.81532037	1975	5	State
5/1/1975	OR	21.50862141	1975	5	State
5/1/1975	PA	29.79723086	1975	5	State
5/1/1975	RI	21.74338263	1975	5	State
5/1/1975	SC	31.77868981	1975	5	State
5/1/1975	SD	36.2200486	1975	5	State
5/1/1975	TN	32.60666007	1975	5	State
5/1/1975	TX	34.65201572	1975	5	State
5/1/1975	UT	25.66835088	1975	5	State
5/1/1975	VA	28.704849	1975	5	State
5/1/1975	VT	27.4633489	1975	5	State
5/1/1975	WA	17.90445025	1975	5	State
5/1/1975	WI	29.56258635	1975	5	State
5/1/1975	WV	45.56695864	1975	5	State
5/1/1975	WY	33.75511702	1975	5	State
5/1/1975	US.NSA	24.46099205	1975	5	State
5/1/1975	US.SA	24.30549616	1975	5	State
6/1/1975	AK	37.21558128	1975	6	State
6/1/1975	AL	36.59048629	1975	6	State
6/1/1975	AR	38.10697146	1975	6	State
6/1/1975	AZ	30.34106497	1975	6	State
6/1/1975	CA	16.60367515	1975	6	State
6/1/1975	CO	20.63931199	1975	6	State
6/1/1975	CT	25.70436059	1975	6	State
6/1/1975	DC	19.23524418	1975	6	State
6/1/1975	DE	27.90035097	1975	6	State
6/1/1975	FL	34.83423813	1975	6	State
6/1/1975	GA	30.68939926	1975	6	State
6/1/1975	HI	26.92706707	1975	6	State
6/1/1975	IA	34.69059849	1975	6	State
6/1/1975	ID	31.89883315	1975	6	State
6/1/1975	IL	26.58774671	1975	6	State
6/1/1975	IN	33.86375078	1975	6	State
6/1/1975	KS	35.33468026	1975	6	State
6/1/1975	KY	32.0558937	1975	6	State
6/1/1975	LA	34.95473775	1975	6	State
6/1/1975	MA	15.61153612	1975	6	State
6/1/1975	MD	27.11990816	1975	6	State
6/1/1975	ME	28.17214749	1975	6	State
6/1/1975	MI	25.30890884	1975	6	State
6/1/1975	MN	26.51754326	1975	6	State
6/1/1975	MO	33.17260378	1975	6	State
6/1/1975	MS	41.64032373	1975	6	State
6/1/1975	MT	28.5727704	1975	6	State
6/1/1975	NC	29.26823123	1975	6	State
6/1/1975	ND	40.46636899	1975	6	State
6/1/1975	NE	31.13269833	1975	6	State
6/1/1975	NH	23.31445223	1975	6	State
6/1/1975	NJ	22.57251518	1975	6	State
6/1/1975	NM	29.4093621	1975	6	State
6/1/1975	NV	29.66562635	1975	6	State
6/1/1975	NY	23.5512338	1975	6	State
6/1/1975	OH	31.25834678	1975	6	State
6/1/1975	OK	37.83084852	1975	6	State
6/1/1975	OR	21.89347611	1975	6	State
6/1/1975	PA	30.07135131	1975	6	State
6/1/1975	RI	22.10299879	1975	6	State
6/1/1975	SC	31.92911061	1975	6	State
6/1/1975	SD	35.93511937	1975	6	State
6/1/1975	TN	32.76803757	1975	6	State
6/1/1975	TX	34.25469389	1975	6	State
6/1/1975	UT	25.71560054	1975	6	State
6/1/1975	VA	28.82592676	1975	6	State
6/1/1975	VT	27.63817143	1975	6	State
6/1/1975	WA	18.02462765	1975	6	State
6/1/1975	WI	29.77890865	1975	6	State
6/1/1975	WV	46.62967272	1975	6	State
