date	state	pcdebt
9/1/2006	IL	47.05940989
9/1/2006	MI	39.74802372
9/1/2006	NJ	55.00499786
9/1/2006	NV	71.48999157
9/1/2006	NY	42.03163017
9/1/2006	OH	34.11586902
9/1/2006	PA	34.19035607
9/1/2006	TX	31.11713906
9/1/2006	ALL	45.4764604
12/1/2006	AZ	56.14096983
12/1/2006	CA	77.79147153
12/1/2006	FL	48.71635095
12/1/2006	IL	46.92921236
12/1/2006	MI	39.98262165
12/1/2006	NJ	56.11459521
12/1/2006	NV	73.06056526
12/1/2006	NY	43.51093359
12/1/2006	OH	34.39233485
12/1/2006	PA	34.83770348
12/1/2006	TX	31.23376982
12/1/2006	ALL	46.29274999
3/1/2007	AZ	58.17636094
3/1/2007	CA	79.54353339
3/1/2007	FL	49.74886836
3/1/2007	IL	47.23663208
3/1/2007	MI	39.83218164
3/1/2007	NJ	56.2954513
3/1/2007	NV	74.69681742
3/1/2007	NY	44.46400758
3/1/2007	OH	34.786126
3/1/2007	PA	35.24598149
3/1/2007	TX	32.087451
3/1/2007	ALL	47.03246976
6/1/2007	AZ	60.32640877
6/1/2007	CA	81.29745617
6/1/2007	FL	51.88016657
6/1/2007	IL	47.81620553
6/1/2007	MI	40.4318322
6/1/2007	NJ	58.65819209
6/1/2007	NV	79.2214041
6/1/2007	NY	45.79993264
6/1/2007	OH	35.52220767
6/1/2007	PA	36.39798489
6/1/2007	TX	32.75918815
6/1/2007	ALL	48.21048606
9/1/2007	AZ	62.46530339
9/1/2007	CA	83.22634664
9/1/2007	FL	53.69770916
9/1/2007	IL	49.10007911
9/1/2007	MI	40.27657736
9/1/2007	NJ	58.79852649
9/1/2007	NV	82.18128578
9/1/2007	NY	47.05526015
9/1/2007	OH	35.00352148
9/1/2007	PA	36.62993039
9/1/2007	TX	33.18226493
9/1/2007	ALL	49.25703544
12/1/2007	AZ	64.01045069
12/1/2007	CA	86.45663717
12/1/2007	FL	54.9170504
12/1/2007	IL	51.4763287
12/1/2007	MI	40.92157842
12/1/2007	NJ	61.11350265
12/1/2007	NV	83.49806037
12/1/2007	NY	49.00495823
12/1/2007	OH	35.91002045
12/1/2007	PA	38.44279867
12/1/2007	TX	34.50932232
12/1/2007	ALL	50.93079741
3/1/2008	AZ	65.41238241
3/1/2008	CA	88.0060131
3/1/2008	FL	56.78279735
3/1/2008	IL	52.31126363
3/1/2008	MI	41.44155516
3/1/2008	NJ	62.64765197
3/1/2008	NV	88.29774142
3/1/2008	NY	49.81219695
3/1/2008	OH	37.04124884
3/1/2008	PA	38.92492138
3/1/2008	TX	35.91783759
3/1/2008	ALL	52.05820187
6/1/2008	AZ	66.26984127
6/1/2008	CA	87.78074673
6/1/2008	FL	56.55525327
6/1/2008	IL	53.71597512
6/1/2008	MI	41.83893469
6/1/2008	NJ	63.68115942
6/1/2008	NV	88.57967809
6/1/2008	NY	50.80294989
6/1/2008	OH	37.50780112
6/1/2008	PA	39.87511151
6/1/2008	TX	36.88056634
6/1/2008	ALL	52.74790145
9/1/2008	AZ	64.51327434
9/1/2008	CA	87.80267764
9/1/2008	FL	57.03318152
9/1/2008	IL	54.16241583
9/1/2008	MI	41.47365742
9/1/2008	NJ	64.76218097
9/1/2008	NV	86.43644965
9/1/2008	NY	51.25576275
9/1/2008	OH	37.61696818
9/1/2008	PA	40.43986527
9/1/2008	TX	37.10975401
9/1/2008	ALL	53.03891909
12/1/2008	AZ	63.97884997
12/1/2008	CA	86.5267629
12/1/2008	FL	56.62783172
12/1/2008	IL	53.890872
12/1/2008	MI	42.0005071
12/1/2008	NJ	64.6914294
12/1/2008	NV	86.28560128
12/1/2008	NY	50.79212674
12/1/2008	OH	37.56900323
12/1/2008	PA	40.75464243
12/1/2008	TX	37.17226867
12/1/2008	ALL	52.89991524
3/1/2009	AZ	63.65439718
3/1/2009	CA	85.84803355
3/1/2009	FL	55.9898872
3/1/2009	IL	52.66011868
3/1/2009	MI	41.51927726
3/1/2009	NJ	64.28467472
3/1/2009	NV	89.60685806
3/1/2009	NY	51.44038594
3/1/2009	OH	36.89817232
3/1/2009	PA	40.42553191
3/1/2009	TX	36.82523327
3/1/2009	ALL	52.51629398
6/1/2009	AZ	61.74659041
6/1/2009	CA	85.12623888
6/1/2009	FL	55.36320878
6/1/2009	IL	52.23758321
6/1/2009	MI	41.14503817
6/1/2009	NJ	62.27623344
6/1/2009	NV	81.3483709
6/1/2009	NY	51.21732533
6/1/2009	OH	37.02310024
6/1/2009	PA	39.84799131
6/1/2009	TX	36.72338968
6/1/2009	ALL	52.01678664
9/1/2009	AZ	59.06803763
9/1/2009	CA	83.04674518
9/1/2009	FL	53.85722698
9/1/2009	IL	51.69387755
9/1/2009	MI	40.40660737
9/1/2009	NJ	62.32137649
9/1/2009	NV	81.37456818
9/1/2009	NY	50.61311656
9/1/2009	OH	36.69581512
9/1/2009	PA	40.09107108
9/1/2009	TX	36.54185901
9/1/2009	ALL	51.29029833
12/1/2009	AZ	59.87399522
12/1/2009	CA	81.36928861
12/1/2009	FL	52.33163996
12/1/2009	IL	50.71268581
12/1/2009	MI	39.39624556
12/1/2009	NJ	62.58374599
12/1/2009	NV	77.15494161
12/1/2009	NY	50.41709755
12/1/2009	OH	36.61281918
12/1/2009	PA	39.77115802
12/1/2009	TX	36.56690942
12/1/2009	ALL	50.76908311
3/1/2010	AZ	57.18932986
3/1/2010	CA	80.15316812
3/1/2010	FL	52.45614035
3/1/2010	IL	50.57003257
3/1/2010	MI	39.47535167
3/1/2010	NJ	63.55412898
