date	type	debt	rv
3/1/2008	Student Loan	0.579	240.2489627
3/1/2008	Other	0.415	86.82008368
3/1/2008	Total	12.537	173.3785092
6/1/2008	Mortgage	9.273	187.6365844
6/1/2008	HE Revolving	0.679	280.5785124
6/1/2008	Auto Loan	0.81	126.3650546
6/1/2008	Credit Card	0.85	123.5465116
6/1/2008	Student Loan	0.586	243.153527
6/1/2008	Other	0.401	83.89121339
6/1/2008	Total	12.599	174.2359286
9/1/2008	Mortgage	9.294	188.0615136
9/1/2008	HE Revolving	0.692	285.9504132
9/1/2008	Auto Loan	0.809	126.2090484
9/1/2008	Credit Card	0.858	124.7093023
9/1/2008	Student Loan	0.611	253.526971
9/1/2008	Other	0.412	86.19246862
9/1/2008	Total	12.675	175.2869589
12/1/2008	Mortgage	9.257	187.3128288
12/1/2008	HE Revolving	0.705	291.322314
12/1/2008	Auto Loan	0.791	123.400936
12/1/2008	Credit Card	0.866	125.872093
12/1/2008	Student Loan	0.639	265.1452282
12/1/2008	Other	0.412	86.19246862
12/1/2008	Total	12.67	175.2178122
3/1/2009	Mortgage	9.135	184.8441926
3/1/2009	HE Revolving	0.714	295.0413223
3/1/2009	Auto Loan	0.766	119.50078
3/1/2009	Credit Card	0.843	122.5290698
3/1/2009	Student Loan	0.663	275.1037344
3/1/2009	Other	0.409	85.56485356
3/1/2009	Total	12.53	173.2817038
6/1/2009	Mortgage	9.063	183.3872926
6/1/2009	HE Revolving	0.713	294.6280992
6/1/2009	Auto Loan	0.743	115.9126365
6/1/2009	Credit Card	0.824	119.7674419
6/1/2009	Student Loan	0.675	280.0829876
6/1/2009	Other	0.389	81.38075314
6/1/2009	Total	12.407	171.5806942
9/1/2009	Mortgage	8.944	180.9793606
9/1/2009	HE Revolving	0.708	292.5619835
9/1/2009	Auto Loan	0.739	115.2886115
9/1/2009	Credit Card	0.812	118.0232558
9/1/2009	Student Loan	0.695	288.3817427
9/1/2009	Other	0.382	79.91631799
9/1/2009	Total	12.279	169.810538
12/1/2009	Mortgage	8.843	178.9356536
12/1/2009	HE Revolving	0.706	291.7355372
12/1/2009	Auto Loan	0.722	112.6365055
12/1/2009	Credit Card	0.795	115.5523256
12/1/2009	Student Loan	0.721	299.1701245
12/1/2009	Other	0.379	79.28870293
12/1/2009	Total	12.166	168.2478219
3/1/2010	Mortgage	8.834	178.7535411
3/1/2010	HE Revolving	0.695	287.1900826
3/1/2010	Auto Loan	0.705	109.9843994
3/1/2010	Credit Card	0.762	110.755814
3/1/2010	Student Loan	0.758	314.5228216
3/1/2010	Other	0.363	75.94142259
3/1/2010	Total	12.117	167.5701839
6/1/2010	Mortgage	8.703	176.1027924
6/1/2010	HE Revolving	0.683	282.231405
6/1/2010	Auto Loan	0.702	109.5163807
6/1/2010	Credit Card	0.744	108.1395349
6/1/2010	Student Loan	0.762	316.1825726
6/1/2010	Other	0.349	73.0125523
6/1/2010	Total	11.943	165.1638777
9/1/2010	Mortgage	8.609	174.2007285
9/1/2010	HE Revolving	0.673	278.0991736
9/1/2010	Auto Loan	0.71	110.7644306
9/1/2010	Credit Card	0.731	106.25
9/1/2010	Student Loan	0.778	322.8215768
9/1/2010	Other	0.343	71.75732218
9/1/2010	Total	11.844	163.7947725
12/1/2010	Mortgage	8.452	171.023877
12/1/2010	HE Revolving	0.668	276.0330579
12/1/2010	Auto Loan	0.711	110.9204368
12/1/2010	Credit Card	0.73	106.1046512
12/1/2010	Student Loan	0.812	336.9294606
12/1/2010	Other	0.341	71.33891213
12/1/2010	Total	11.713	161.9831282
3/1/2011	Mortgage	8.544	172.8854715
3/1/2011	HE Revolving	0.641	264.8760331
3/1/2011	Auto Loan	0.706	110.1404056
3/1/2011	Credit Card	0.696	101.1627907
3/1/2011	Student Loan	0.839	348.1327801
3/1/2011	Other	0.329	68.82845188
3/1/2011	Total	11.754	162.5501314
6/1/2011	Mortgage	8.516	172.3188992
6/1/2011	HE Revolving	0.625	258.2644628
6/1/2011	Auto Loan	0.713	111.2324493
6/1/2011	Credit Card	0.694	100.872093
6/1/2011	Student Loan	0.851	353.1120332
6/1/2011	Other	0.33	69.0376569
6/1/2011	Total	11.73	162.2182271
9/1/2011	Mortgage	8.402	170.0121408
9/1/2011	HE Revolving	0.639	264.0495868
9/1/2011	Auto Loan	0.73	113.8845554
9/1/2011	Credit Card	0.693	100.7267442
9/1/2011	Student Loan	0.87	360.9958506
9/1/2011	Other	0.327	68.41004184
9/1/2011	Total	11.661	161.2640022
12/1/2011	Mortgage	8.268	167.300688
12/1/2011	HE Revolving	0.627	259.0909091
12/1/2011	Auto Loan	0.734	114.5085803
12/1/2011	Credit Card	0.704	102.3255814
12/1/2011	Student Loan	0.874	362.6556017
12/1/2011	Other	0.33	69.0376569
12/1/2011	Total	11.537	159.5491633
3/1/2012	Mortgage	8.187	165.6616754
3/1/2012	HE Revolving	0.612	252.892562
3/1/2012	Auto Loan	0.737	114.9765991
3/1/2012	Credit Card	0.679	98.69186047
3/1/2012	Student Loan	0.904	375.1037344
3/1/2012	Other	0.319	66.73640167
3/1/2012	Total	11.436	158.1523994
6/1/2012	Mortgage	8.147	164.8522865
6/1/2012	HE Revolving	0.589	243.3884298
6/1/2012	Auto Loan	0.75	117.0046802
6/1/2012	Credit Card	0.672	97.6744186
6/1/2012	Student Loan	0.914	379.253112
6/1/2012	Other	0.312	65.27196653
6/1/2012	Total	11.384	157.4332734
9/1/2012	Mortgage	8.028	162.4443545
9/1/2012	HE Revolving	0.573	236.7768595
9/1/2012	Auto Loan	0.768	119.8127925
9/1/2012	Credit Card	0.674	97.96511628
9/1/2012	Student Loan	0.956	396.6804979
9/1/2012	Other	0.311	65.06276151
9/1/2012	Total	11.31	156.4099018
12/1/2012	Mortgage	8.033	162.5455281
12/1/2012	HE Revolving	0.563	232.6446281
12/1/2012	Auto Loan	0.783	122.1528861
12/1/2012	Credit Card	0.679	98.69186047
12/1/2012	Student Loan	0.966	400.8298755
12/1/2012	Other	0.317	66.31799163
12/1/2012	Total	11.341	156.8386115
3/1/2013	Mortgage	7.932	160.5018211
3/1/2013	HE Revolving	0.552	228.0991736
3/1/2013	Auto Loan	0.794	123.8689548
3/1/2013	Credit Card	0.66	95.93023256
3/1/2013	Student Loan	0.986	409.1286307
3/1/2013	Other	0.307	64.22594142
3/1/2013	Total	11.231	155.3173835
6/1/2013	Mortgage	7.841	158.6604614
6/1/2013	HE Revolving	0.54	223.1404959
6/1/2013	Auto Loan	0.814	126.9890796
6/1/2013	Credit Card	0.668	97.09302326
6/1/2013	Student Loan	0.994	412.4481328
6/1/2013	Other	0.296	61.92468619
6/1/2013	Total	11.153	154.2386945
9/1/2013	Mortgage	7.897	159.7936058
9/1/2013	HE Revolving	0.535	221.0743802
9/1/2013	Auto Loan	0.845	131.825273
9/1/2013	Credit Card	0.672	97.6744186
9/1/2013	Student Loan	1.027	426.1410788
9/1/2013	Other	0.304	63.59832636
9/1/2013	Total	11.28	155.9950214
12/1/2013	Mortgage	8.049	162.8692837
12/1/2013	HE Revolving	0.529	218.5950413
12/1/2013	Auto Loan	0.863	134.6333853
12/1/2013	Credit Card	0.683	99.27325581
12/1/2013	Student Loan	1.08	448.1327801
12/1/2013	Other	0.317	66.31799163
12/1/2013	Total	11.521	159.3278938
3/1/2014	Mortgage	8.165	165.2165115
3/1/2014	HE Revolving	0.526	217.3553719
