cbsa.code	cbsa.name
16700	"Charleston-North Charleston, SC Metro Area"
16740	"Charlotte-Concord-Gastonia, NC-SC Metro Area"
16820	"Charlottesville, VA Metro Area"
16860	"Chattanooga, TN-GA Metro Area"
16940	"Cheyenne, WY Metro Area"
16980	"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
17020	"Chico, CA Metro Area"
17060	"Chillicothe, OH Micro Area"
17140	"Cincinnati, OH-KY-IN Metro Area"
17200	"Claremont-Lebanon, NH-VT Micro Area"
17220	"Clarksburg, WV Micro Area"
17260	"Clarksdale, MS Micro Area"
17300	"Clarksville, TN-KY Metro Area"
17340	"Clearlake, CA Micro Area"
17380	"Cleveland, MS Micro Area"
17420	"Cleveland, TN Metro Area"
17460	"Cleveland-Elyria, OH Metro Area"
17500	"Clewiston, FL Micro Area"
17540	"Clinton, IA Micro Area"
17580	"Clovis, NM Micro Area"
17620	"Coamo, PR Micro Area"
17640	"Coco, PR Micro Area"
17660	"Coeur d'Alene, ID Metro Area"
17700	"Coffeyville, KS Micro Area"
17740	"Coldwater, MI Micro Area"
17780	"College Station-Bryan, TX Metro Area"
17820	"Colorado Springs, CO Metro Area"
17860	"Columbia, MO Metro Area"
17900	"Columbia, SC Metro Area"
17980	"Columbus, GA-AL Metro Area"
18020	"Columbus, IN Metro Area"
18060	"Columbus, MS Micro Area"
18100	"Columbus, NE Micro Area"
18140	"Columbus, OH Metro Area"
18180	"Concord, NH Micro Area"
18220	"Connersville, IN Micro Area"
18260	"Cookeville, TN Micro Area"
18300	"Coos Bay, OR Micro Area"
18380	"Cordele, GA Micro Area"
18420	"Corinth, MS Micro Area"
18460	"Cornelia, GA Micro Area"
18500	"Corning, NY Micro Area"
18580	"Corpus Christi, TX Metro Area"
18620	"Corsicana, TX Micro Area"
18660	"Cortland, NY Micro Area"
18700	"Corvallis, OR Metro Area"
18740	"Coshocton, OH Micro Area"
18780	"Craig, CO Micro Area"
18820	"Crawfordsville, IN Micro Area"
18860	"Crescent City, CA Micro Area"
18880	"Crestview-Fort Walton Beach-Destin, FL Metro Area"
18900	"Crossville, TN Micro Area"
18980	"Cullman, AL Micro Area"
19000	"Cullowhee, NC Micro Area"
19060	"Cumberland, MD-WV Metro Area"
19100	"Dallas-Fort Worth-Arlington, TX Metro Area"
19140	"Dalton, GA Metro Area"
19180	"Danville, IL Metro Area"
19220	"Danville, KY Micro Area"
19260	"Danville, VA Micro Area"
19300	"Daphne-Fairhope-Foley, AL Metro Area"
19340	"Davenport-Moline-Rock Island, IA-IL Metro Area"
19380	"Dayton, OH Metro Area"
19420	"Dayton, TN Micro Area"
19460	"Decatur, AL Metro Area"
19500	"Decatur, IL Metro Area"
19540	"Decatur, IN Micro Area"
19580	"Defiance, OH Micro Area"
19620	"Del Rio, TX Micro Area"
19660	"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
19700	"Deming, NM Micro Area"
19740	"Denver-Aurora-Lakewood, CO Metro Area"
19760	"DeRidder, LA Micro Area"
19780	"Des Moines-West Des Moines, IA Metro Area"
19820	"Detroit-Warren-Dearborn, MI Metro Area"
19860	"Dickinson, ND Micro Area"
19940	"Dixon, IL Micro Area"
19980	"Dodge City, KS Micro Area"
20020	"Dothan, AL Metro Area"
20060	"Douglas, GA Micro Area"
20100	"Dover, DE Metro Area"
20140	"Dublin, GA Micro Area"
20180	"DuBois, PA Micro Area"
20220	"Dubuque, IA Metro Area"
20260	"Duluth, MN-WI Metro Area"
20300	"Dumas, TX Micro Area"
20340	"Duncan, OK Micro Area"
20380	"Dunn, NC Micro Area"
20420	"Durango, CO Micro Area"
20460	"Durant, OK Micro Area"
20500	"Durham-Chapel Hill, NC Metro Area"
20540	"Dyersburg, TN Micro Area"
20580	"Eagle Pass, TX Micro Area"
20660	"Easton, MD Micro Area"
20700	"East Stroudsburg, PA Metro Area"
20740	"Eau Claire, WI Metro Area"
20780	"Edwards, CO Micro Area"
20820	"Effingham, IL Micro Area"
20900	"El Campo, TX Micro Area"
20940	"El Centro, CA Metro Area"
20980	"El Dorado, AR Micro Area"
21020	"Elizabeth City, NC Micro Area"
21060	"Elizabethtown-Fort Knox, KY Metro Area"
21120	"Elk City, OK Micro Area"
21140	"Elkhart-Goshen, IN Metro Area"
21180	"Elkins, WV Micro Area"
21220	"Elko, NV Micro Area"
21260	"Ellensburg, WA Micro Area"
21300	"Elmira, NY Metro Area"
21340	"El Paso, TX Metro Area"
21380	"Emporia, KS Micro Area"
21420	"Enid, OK Micro Area"
21460	"Enterprise, AL Micro Area"
21500	"Erie, PA Metro Area"
21540	"Escanaba, MI Micro Area"
21580	"Española, NM Micro Area"
21660	"Eugene, OR Metro Area"
21700	"Eureka-Arcata-Fortuna, CA Micro Area"
21740	"Evanston, WY Micro Area"
21780	"Evansville, IN-KY Metro Area"
21820	"Fairbanks, AK Metro Area"
21840	"Fairfield, IA Micro Area"
21900	"Fairmont, WV Micro Area"
21980	"Fallon, NV Micro Area"
22020	"Fargo, ND-MN Metro Area"
22060	"Faribault-Northfield, MN Micro Area"
22100	"Farmington, MO Micro Area"
22140	"Farmington, NM Metro Area"
22180	"Fayetteville, NC Metro Area"
22220	"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
22260	"Fergus Falls, MN Micro Area"
22280	"Fernley, NV Micro Area"
22300	"Findlay, OH Micro Area"
22340	"Fitzgerald, GA Micro Area"
22380	"Flagstaff, AZ Metro Area"
22420	"Flint, MI Metro Area"
22500	"Florence, SC Metro Area"
22520	"Florence-Muscle Shoals, AL Metro Area"
22540	"Fond du Lac, WI Metro Area"
22580	"Forest City, NC Micro Area"
22620	"Forrest City, AR Micro Area"
22660	"Fort Collins, CO Metro Area"
22700	"Fort Dodge, IA Micro Area"
22780	"Fort Leonard Wood, MO Micro Area"
22800	"Fort Madison-Keokuk, IA-IL-MO Micro Area"
22820	"Fort Morgan, CO Micro Area"
22860	"Fort Polk South, LA Micro Area"
22900	"Fort Smith, AR-OK Metro Area"
23060	"Fort Wayne, IN Metro Area"
23140	"Frankfort, IN Micro Area"
23180	"Frankfort, KY Micro Area"
23240	"Fredericksburg, TX Micro Area"
23300	"Freeport, IL Micro Area"
23340	"Fremont, NE Micro Area"
23380	"Fremont, OH Micro Area"
23420	"Fresno, CA Metro Area"
23460	"Gadsden, AL Metro Area"
23500	"Gaffney, SC Micro Area"
23540	"Gainesville, FL Metro Area"
23580	"Gainesville, GA Metro Area"
23620	"Gainesville, TX Micro Area"
23660	"Galesburg, IL Micro Area"
23700	"Gallup, NM Micro Area"
23780	"Garden City, KS Micro Area"
23820	"Gardnerville Ranchos, NV Micro Area"
23860	"Georgetown, SC Micro Area"
23900	"Gettysburg, PA Metro Area"
23940	"Gillette, WY Micro Area"
23980	"Glasgow, KY Micro Area"
24020	"Glens Falls, NY Metro Area"
24060	"Glenwood Springs, CO Micro Area"
24100	"Gloversville, NY Micro Area"
24140	"Goldsboro, NC Metro Area"
24220	"Grand Forks, ND-MN Metro Area"
24260	"Grand Island, NE Metro Area"
24300	"Grand Junction, CO Metro Area"
24340	"Grand Rapids-Wyoming, MI Metro Area"
24380	"Grants, NM Micro Area"
24420	"Grants Pass, OR Metro Area"
24460	"Great Bend, KS Micro Area"
24500	"Great Falls, MT Metro Area"
24540	"Greeley, CO Metro Area"
