date	starts	pop	st.pop	month	year
10/1/2010	543	238530	0.002276443	10	2010
11/1/2010	545	238715	0.002283057	11	2010
12/1/2010	539	238889	0.002256278	12	2010
1/1/2011	630	238704	0.002639252	1	2011
2/1/2011	517	238851	0.002164529	2	2011
3/1/2011	600	239000	0.00251046	3	2011
4/1/2011	554	239146	0.002316576	4	2011
5/1/2011	561	239313	0.00234421	5	2011
6/1/2011	608	239489	0.002538739	6	2011
7/1/2011	623	239671	0.002599397	7	2011
8/1/2011	585	239871	0.002438811	8	2011
9/1/2011	650	240071	0.002707532	9	2011
10/1/2011	610	240269	0.002538821	10	2011
11/1/2011	711	240441	0.002957066	11	2011
12/1/2011	694	240584	0.002884647	12	2011
1/1/2012	723	242269	0.002984286	1	2012
2/1/2012	704	242435	0.002903871	2	2012
3/1/2012	695	242604	0.002864751	3	2012
4/1/2012	753	242784	0.003101522	4	2012
5/1/2012	708	242966	0.002913988	5	2012
6/1/2012	757	243155	0.003113241	6	2012
7/1/2012	740	243354	0.003040838	7	2012
8/1/2012	754	243566	0.00309567	8	2012
9/1/2012	847	243772	0.003474558	9	2012
10/1/2012	915	243983	0.003750261	10	2012
11/1/2012	833	244174	0.003411502	11	2012
12/1/2012	976	244350	0.003994271	12	2012
1/1/2013	888	244663	0.003629482	1	2013
2/1/2013	970	244828	0.003961965	2	2013
3/1/2013	999	244995	0.004077634	3	2013
4/1/2013	826	245175	0.003369022	4	2013
5/1/2013	920	245363	0.003749547	5	2013
6/1/2013	852	245552	0.003469733	6	2013
7/1/2013	891	245756	0.003625547	7	2013
8/1/2013	898	245959	0.003651015	8	2013
9/1/2013	860	246168	0.003493549	9	2013
10/1/2013	921	246381	0.003738113	10	2013
11/1/2013	1104	246567	0.004477485	11	2013
12/1/2013	1010	246745	0.004093295	12	2013
1/1/2014	902	246915	0.003653079	1	2014
2/1/2014	948	247085	0.003836736	2	2014
3/1/2014	973	247258	0.003935161	3	2014
4/1/2014	1038	247439	0.004194973	4	2014
5/1/2014	987	247622	0.003985914	5	2014
6/1/2014	928	247814	0.003744744	6	2014
7/1/2014	1085	248023	0.004374594	7	2014
8/1/2014	984	248229	0.003964082	8	2014
9/1/2014	999	248446	0.004020995	9	2014
10/1/2014	1094	248657	0.004399635	10	2014
11/1/2014	994	248844	0.00399447	11	2014
12/1/2014	1081	249027	0.004340895	12	2014
1/1/2015	1101	249723	0.004408885	1	2015
2/1/2015	887	249899	0.003573444	2	2015
3/1/2015	974	250080	0.003854766	3	2015
4/1/2015	1200	250266	0.004762932	4	2015
5/1/2015	1066	250455	0.004244275	5	2015
6/1/2015	1201	250663	0.004839167	6	2015
7/1/2015	1140	250876	0.00457198	7	2015
8/1/2015	1134	251096	0.004508236	8	2015
9/1/2015	1209	251325	0.004730926	9	2015
10/1/2015	1059	251541	0.004265706	10	2015
11/1/2015	1176	251747	0.004651495	11	2015
12/1/2015	1138	251936	0.004604344	12	2015
1/1/2016	1123	252397	0.00446915	1	2016
2/1/2016	1209	252577	0.004802496	2	2016
3/1/2016	1128	252768	0.004403247	3	2016
4/1/2016	1164	252969	0.004565777	4	2016
5/1/2016	1119	253174	0.004455434	5	2016
6/1/2016	1190	253397	0.00471592	6	2016
7/1/2016	1223	253620	0.00480246	7	2016
8/1/2016	1164	253854	0.004585313	8	2016
9/1/2016	1062	254091	0.004140249	9	2016
10/1/2016	1328	254321	0.005268932	10	2016
11/1/2016	1149	254540	0.004514025	11	2016
12/1/2016	1268	254742	0.004977585	12	2016
1/1/2017	1236	254082	0.004864571	1	2017
2/1/2017	1288	254246	0.00506596	2	2017
3/1/2017	1189	254414	0.004673485	3	2017
4/1/2017	1154	254588	0.004532814	4	2017
5/1/2017	1129	254767	0.0044315	5	2017
6/1/2017	1217	254957	0.004773354	6	2017
7/1/2017	1190	255151	0.004663905	7	2017
8/1/2017	1180	255357	0.004620982	8	2017
