cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
43500	"Silver City, NM"	Micropolitan Statistical Area	Silver City	35	73260	NM	Silver City NM	28609
43580	"Sioux City, IA-NE-SD"	Metropolitan Statistical Area	Sioux City	19	73335	IA	Sioux City IA	169069
43620	"Sioux Falls, SD"	Metropolitan Statistical Area	Sioux Falls	46	59020	SD	Sioux Falls SD	251854
43660	"Snyder, TX"	Micropolitan Statistical Area	Snyder	48	68624	TX	Snyder TX	17615
43700	"Somerset, KY"	Micropolitan Statistical Area	Somerset	21	71688	KY	Somerset KY	63782
43740	"Somerset, PA"	Micropolitan Statistical Area	Somerset	42	71776	PA	Somerset PA	75522
43760	"Sonora, CA"	Micropolitan Statistical Area	Sonora	06	72674	CA	Sonora CA	53709
43780	"South Bend-Mishawaka, IN-MI"	Metropolitan Statistical Area	Mishawaka	18	49932	IN	Mishawaka IN	320098
43780	"South Bend-Mishawaka, IN-MI"	Metropolitan Statistical Area	South Bend	18	71000	IN	South Bend IN	320098
43900	"Spartanburg, SC"	Metropolitan Statistical Area	Spartanburg	45	68290	SC	Spartanburg SC	325079
43940	"Spearfish, SD"	Micropolitan Statistical Area	Spearfish	46	60020	SD	Spearfish SD	24827
43980	"Spencer, IA"	Micropolitan Statistical Area	Spencer	19	74280	IA	Spencer IA	16507
44020	"Spirit Lake, IA"	Micropolitan Statistical Area	Spirit Lake	19	74415	IA	Spirit Lake IA	17111
44060	"Spokane-Spokane Valley, WA"	Metropolitan Statistical Area	Spokane	53	67000	WA	Spokane WA	547824
44060	"Spokane-Spokane Valley, WA"	Metropolitan Statistical Area	Spokane Valley	53	67167	WA	Spokane Valley WA	547824
44100	"Springfield, IL"	Metropolitan Statistical Area	Springfield	17	72000	IL	Springfield IL	211156
44140	"Springfield, MA"	Metropolitan Statistical Area	Springfield	25	67000	MA	Springfield MA	631982
44180	"Springfield, MO"	Metropolitan Statistical Area	Springfield	29	70000	MO	Springfield MO	456456
44220	"Springfield, OH"	Metropolitan Statistical Area	Springfield	39	74118	OH	Springfield OH	135959
44260	"Starkville, MS"	Micropolitan Statistical Area	Starkville	28	70240	MS	Starkville MS	49800
44300	"State College, PA"	Metropolitan Statistical Area	State College	42	73808	PA	State College PA	160580
44340	"Statesboro, GA"	Micropolitan Statistical Area	Statesboro	13	73256	GA	Statesboro GA	72651
44420	"Staunton-Waynesboro, VA"	Metropolitan Statistical Area	Staunton	51	75216	VA	Staunton VA	120221
44420	"Staunton-Waynesboro, VA"	Metropolitan Statistical Area	Waynesboro	51	83680	VA	Waynesboro VA	120221
44460	"Steamboat Springs, CO"	Micropolitan Statistical Area	Steamboat Springs	08	73825	CO	Steamboat Springs CO	24130
44500	"Stephenville, TX"	Micropolitan Statistical Area	Stephenville	48	70208	TX	Stephenville TX	41122
44540	"Sterling, CO"	Micropolitan Statistical Area	Sterling	08	73935	CO	Sterling CO	22036
44580	"Sterling, IL"	Micropolitan Statistical Area	Sterling	17	72546	IL	Sterling IL	57079
44620	"Stevens Point, WI"	Micropolitan Statistical Area	Stevens Point	55	77200	WI	Stevens Point WI	70408
44660	"Stillwater, OK"	Micropolitan Statistical Area	Stillwater	40	70300	OK	Stillwater OK	80850
44700	"Stockton-Lodi, CA"	Metropolitan Statistical Area	Lodi	06	42202	CA	Lodi CA	726106
44700	"Stockton-Lodi, CA"	Metropolitan Statistical Area	Stockton	06	75000	CA	Stockton CA	726106
44740	"Storm Lake, IA"	Micropolitan Statistical Area	Storm Lake	19	75630	IA	Storm Lake IA	20493
44780	"Sturgis, MI"	Micropolitan Statistical Area	Sturgis	26	76960	MI	Sturgis MI	61018
44860	"Sulphur Springs, TX"	Micropolitan Statistical Area	Sulphur Springs	48	70904	TX	Sulphur Springs TX	36223
44900	"Summerville, GA"	Micropolitan Statistical Area	Summerville	13	74376	GA	Summerville GA	24922
44920	"Summit Park, UT"	Micropolitan Statistical Area	Summit Park	49	74095	UT	Summit Park UT	39633
44940	"Sumter, SC"	Metropolitan Statistical Area	Sumter	45	70405	SC	Sumter SC	107480
44980	"Sunbury, PA"	Micropolitan Statistical Area	Sunbury	42	75304	PA	Sunbury PA	93246
45000	"Susanville, CA"	Micropolitan Statistical Area	Susanville	06	77364	CA	Susanville CA	31345
45020	"Sweetwater, TX"	Micropolitan Statistical Area	Sweetwater	48	71540	TX	Sweetwater TX	15107
45060	"Syracuse, NY"	Metropolitan Statistical Area	Syracuse	36	73000	NY	Syracuse NY	660458
45140	"Tahlequah, OK"	Micropolitan Statistical Area	Tahlequah	40	72100	OK	Tahlequah OK	48447
45180	"Talladega-Sylacauga, AL"	Micropolitan Statistical Area	Sylacauga	01	74352	AL	Sylacauga AL	91586
45180	"Talladega-Sylacauga, AL"	Micropolitan Statistical Area	Talladega	01	74592	AL	Talladega AL	91586
45220	"Tallahassee, FL"	Metropolitan Statistical Area	Tallahassee	12	70600	FL	Tallahassee FL	377924
45300	"Tampa-St. Petersburg-Clearwater, FL"	Metropolitan Statistical Area	Clearwater	12	12875	FL	Clearwater FL	2975225
45300	"Tampa-St. Petersburg-Clearwater, FL"	Metropolitan Statistical Area	Largo	12	39425	FL	Largo FL	2975225
45300	"Tampa-St. Petersburg-Clearwater, FL"	Metropolitan Statistical Area	St. Petersburg	12	63000	FL	St. Petersburg FL	2975225
45300	"Tampa-St. Petersburg-Clearwater, FL"	Metropolitan Statistical Area	Tampa	12	71000	FL	Tampa FL	2975225
45340	"Taos, NM"	Micropolitan Statistical Area	Taos	35	76200	NM	Taos NM	32907
45380	"Taylorville, IL"	Micropolitan Statistical Area	Taylorville	17	74574	IL	Taylorville IL	33642
45460	"Terre Haute, IN"	Metropolitan Statistical Area	Terre Haute	18	75428	IN	Terre Haute IN	171019
45500	"Texarkana, TX-AR"	Metropolitan Statistical Area	Texarkana	48	72368	TX	Texarkana TX	149769
45520	"The Dalles, OR"	Micropolitan Statistical Area	The Dalles	41	72950	OR	The Dalles OR	25775
45540	"The Villages, FL"	Metropolitan Statistical Area	The Villages	12	71625	FL	The Villages FL	118891
45580	"Thomaston, GA"	Micropolitan Statistical Area	Thomaston	13	76168	GA	Thomaston GA	26368
45620	"Thomasville, GA"	Micropolitan Statistical Area	Thomasville	13	76224	GA	Thomasville GA	45063
45660	"Tiffin, OH"	Micropolitan Statistical Area	Tiffin	39	76778	OH	Tiffin OH	55610
45700	"Tifton, GA"	Micropolitan Statistical Area	Tifton	13	76476	GA	Tifton GA	40764
45740	"Toccoa, GA"	Micropolitan Statistical Area	Toccoa	13	76756	GA	Toccoa GA	25586
45780	"Toledo, OH"	Metropolitan Statistical Area	Toledo	39	77000	OH	Toledo OH	605956
45820	"Topeka, KS"	Metropolitan Statistical Area	Topeka	20	71000	KS	Topeka KS	233791
45860	"Torrington, CT"	Micropolitan Statistical Area	Torrington	09	76500	CT	Torrington CT	183603
45900	"Traverse City, MI"	Micropolitan Statistical Area	Traverse City	26	80340	MI	Traverse City MI	148334
45940	"Trenton, NJ"	Metropolitan Statistical Area	Trenton	34	74000	NJ	Trenton NJ	371398
45980	"Troy, AL"	Micropolitan Statistical Area	Troy	01	76920	AL	Troy AL	33046
46020	"Truckee-Grass Valley, CA"	Micropolitan Statistical Area	Grass Valley	06	30798	CA	Grass Valley CA	98877
46020	"Truckee-Grass Valley, CA"	Micropolitan Statistical Area	Truckee	06	80588	CA	Truckee CA	98877
46060	"Tucson, AZ"	Metropolitan Statistical Area	Tucson	04	77000	AZ	Tucson AZ	1010025
46100	"Tullahoma-Manchester, TN"	Micropolitan Statistical Area	Manchester	47	45500	TN	Manchester TN	102048
46100	"Tullahoma-Manchester, TN"	Micropolitan Statistical Area	Tullahoma	47	75320	TN	Tullahoma TN	102048
46140	"Tulsa, OK"	Metropolitan Statistical Area	Tulsa	40	75000	OK	Tulsa OK	981005
46180	"Tupelo, MS"	Micropolitan Statistical Area	Tupelo	28	74840	MS	Tupelo MS	139817
46220	"Tuscaloosa, AL"	Metropolitan Statistical Area	Tuscaloosa	01	77256	AL	Tuscaloosa AL	239908
46300	"Twin Falls, ID"	Micropolitan Statistical Area	Twin Falls	16	82810	ID	Twin Falls ID	105189
46340	"Tyler, TX"	Metropolitan Statistical Area	Tyler	48	74144	TX	Tyler TX	222936
46380	"Ukiah, CA"	Micropolitan Statistical Area	Ukiah	06	81134	CA	Ukiah CA	87649
46460	"Union City, TN-KY"	Micropolitan Statistical Area	Union City	47	75940	TN	Union City TN	36877
46500	"Urbana, OH"	Micropolitan Statistical Area	Urbana	39	79072	OH	Urbana OH	38987
46520	"Urban Honolulu, HI"	Metropolitan Statistical Area	Urban Honolulu	15	71550	HI	Urban Honolulu HI	998714
46540	"Utica-Rome, NY"	Metropolitan Statistical Area	Rome	36	63418	NY	Rome NY	295600
46540	"Utica-Rome, NY"	Metropolitan Statistical Area	Utica	36	76540	NY	Utica NY	295600
46620	"Uvalde, TX"	Micropolitan Statistical Area	Uvalde	48	74588	TX	Uvalde TX	27245
46660	"Valdosta, GA"	Metropolitan Statistical Area	Valdosta	13	78800	GA	Valdosta GA	142875
46700	"Vallejo-Fairfield, CA"	Metropolitan Statistical Area	Fairfield	06	23182	CA	Fairfield CA	436092
46700	"Vallejo-Fairfield, CA"	Metropolitan Statistical Area	Vallejo	06	81666	CA	Vallejo CA	436092
46740	"Valley, AL"	Micropolitan Statistical Area	Valley	01	78204	AL	Valley AL	34123
46780	"Van Wert, OH"	Micropolitan Statistical Area	Van Wert	39	79562	OH	Van Wert OH	28562
46820	"Vermillion, SD"	Micropolitan Statistical Area	Vermillion	46	66700	SD	Vermillion SD	13964
46860	"Vernal, UT"	Micropolitan Statistical Area	Vernal	49	80090	UT	Vernal UT	37928
46900	"Vernon, TX"	Micropolitan Statistical Area	Vernon	48	75308	TX	Vernon TX	13027
46980	"Vicksburg, MS"	Micropolitan Statistical Area	Vicksburg	28	76720	MS	Vicksburg MS	56635
47020	"Victoria, TX"	Metropolitan Statistical Area	Victoria	48	75428	TX	Victoria TX	99913
47080	"Vidalia, GA"	Micropolitan Statistical Area	Vidalia	13	79388	GA	Vidalia GA	36192
47180	"Vincennes, IN"	Micropolitan Statistical Area	Vincennes	18	79208	IN	Vincennes IN	37927
47220	"Vineland-Bridgeton, NJ"	Metropolitan Statistical Area	Bridgeton	34	07600	NJ	Bridgeton NJ	155854
47220	"Vineland-Bridgeton, NJ"	Metropolitan Statistical Area	Vineland	34	76070	NJ	Vineland NJ	155854
47240	"Vineyard Haven, MA"	Micropolitan Statistical Area	Vineyard Haven	25	71970	MA	Vineyard Haven MA	17299
47260	"Virginia Beach-Norfolk-Newport News, VA-NC"	Metropolitan Statistical Area	Hampton	51	35000	VA	Hampton VA	1724876
47260	"Virginia Beach-Norfolk-Newport News, VA-NC"	Metropolitan Statistical Area	Newport News	51	56000	VA	Newport News VA	1724876
47260	"Virginia Beach-Norfolk-Newport News, VA-NC"	Metropolitan Statistical Area	Norfolk	51	57000	VA	Norfolk VA	1724876
47260	"Virginia Beach-Norfolk-Newport News, VA-NC"	Metropolitan Statistical Area	Portsmouth	51	64000	VA	Portsmouth VA	1724876
47260	"Virginia Beach-Norfolk-Newport News, VA-NC"	Metropolitan Statistical Area	Virginia Beach	51	82000	VA	Virginia Beach VA	1724876
47300	"Visalia-Porterville, CA"	Metropolitan Statistical Area	Porterville	06	58240	CA	Porterville CA	459863
47300	"Visalia-Porterville, CA"	Metropolitan Statistical Area	Visalia	06	82954	CA	Visalia CA	459863
47340	"Wabash, IN"	Micropolitan Statistical Area	Wabash	18	79370	IN	Wabash IN	32138
47380	"Waco, TX"	Metropolitan Statistical Area	Waco	48	76000	TX	Waco TX	262813
47420	"Wahpeton, ND-MN"	Micropolitan Statistical Area	Wahpeton	38	82660	ND	Wahpeton ND	22798
47460	"Walla Walla, WA"	Metropolitan Statistical Area	Walla Walla	53	75775	WA	Walla Walla WA	64282
47540	"Wapakoneta, OH"	Micropolitan Statistical Area	Wapakoneta	39	80766	OH	Wapakoneta OH	45876
47580	"Warner Robins, GA"	Metropolitan Statistical Area	Warner Robins	13	80508	GA	Warner Robins GA	188149
47620	"Warren, PA"	Micropolitan Statistical Area	Warren	42	81000	PA	Warren PA	40396
47660	"Warrensburg, MO"	Micropolitan Statistical Area	Warrensburg	29	77092	MO	Warrensburg MO	53951
47700	"Warsaw, IN"	Micropolitan Statistical Area	Warsaw	18	80306	IN	Warsaw IN	78620
47780	"Washington, IN"	Micropolitan Statistical Area	Washington	18	80504	IN	Washington IN	32906
47820	"Washington, NC"	Micropolitan Statistical Area	Washington	37	71220	NC	Washington NC	47651
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Washington	11	50000	DC	Washington DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Bethesda	24	07125	DC	Bethesda DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Frederick	24	30325	DC	Frederick DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Gaithersburg	24	31175	DC	Gaithersburg DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Rockville	24	67675	DC	Rockville DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Silver Spring	24	72450	DC	Silver Spring DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Alexandria	51	01000	DC	Alexandria DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Arlington	51	03000	DC	Arlington DC	6097684
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	Metropolitan Statistical Area	Reston	51	66672	DC	Reston DC	6097684
47920	"Washington Court House, OH"	Micropolitan Statistical Area	Washington Court House	39	81718	OH	Washington Court House OH	28679
47940	"Waterloo-Cedar Falls, IA"	Metropolitan Statistical Area	Cedar Falls	19	11755	IA	Cedar Falls IA	170612
47940	"Waterloo-Cedar Falls, IA"	Metropolitan Statistical Area	Waterloo	19	82425	IA	Waterloo IA	170612
47980	"Watertown, SD"	Micropolitan Statistical Area	Watertown	46	69300	SD	Watertown SD	27939
48020	"Watertown-Fort Atkinson, WI"	Micropolitan Statistical Area	Fort Atkinson	55	26675	WI	Fort Atkinson WI	84559
48020	"Watertown-Fort Atkinson, WI"	Micropolitan Statistical Area	Watertown	55	83975	WI	Watertown WI	84559
48060	"Watertown-Fort Drum, NY"	Metropolitan Statistical Area	Fort Drum	36	26759	NY	Fort Drum NY	117635
48060	"Watertown-Fort Drum, NY"	Metropolitan Statistical Area	Watertown	36	78608	NY	Watertown NY	117635
48100	"Wauchula, FL"	Micropolitan Statistical Area	Wauchula	12	75375	FL	Wauchula FL	27502
48140	"Wausau, WI"	Metropolitan Statistical Area	Wausau	55	84475	WI	Wausau WI	135868
48180	"Waycross, GA"	Micropolitan Statistical Area	Waycross	13	80956	GA	Waycross GA	54473
48220	"Weatherford, OK"	Micropolitan Statistical Area	Weatherford	40	79450	OK	Weatherford OK	29744
48260	"Weirton-Steubenville, WV-OH"	Metropolitan Statistical Area	Steubenville	39	74608	WV	Steubenville WV	120512
48260	"Weirton-Steubenville, WV-OH"	Metropolitan Statistical Area	Weirton	54	85156	WV	Weirton WV	120512
48300	"Wenatchee, WA"	Metropolitan Statistical Area	Wenatchee	53	77105	WA	Wenatchee WA	116178
48460	"West Plains, MO"	Micropolitan Statistical Area	West Plains	29	78928	MO	West Plains MO	40117
48500	"West Point, MS"	Micropolitan Statistical Area	West Point	28	79120	MS	West Point MS	0
48540	"Wheeling, WV-OH"	Metropolitan Statistical Area	Wheeling	54	86452	WV	Wheeling WV	144198
48580	"Whitewater-Elkhorn, WI"	Micropolitan Statistical Area	Elkhorn	55	23300	WI	Elkhorn WI	102804
48580	"Whitewater-Elkhorn, WI"	Micropolitan Statistical Area	Whitewater	55	86925	WI	Whitewater WI	102804
48620	"Wichita, KS"	Metropolitan Statistical Area	Wichita	20	79000	KS	Wichita KS	644610
48660	"Wichita Falls, TX"	Metropolitan Statistical Area	Wichita Falls	48	79000	TX	Wichita Falls TX	150780
48700	"Williamsport, PA"	Metropolitan Statistical Area	Williamsport	42	85312	PA	Williamsport PA	116048
48780	"Williston, ND"	Micropolitan Statistical Area	Williston	38	86220	ND	Williston ND	35294
48820	"Willmar, MN"	Micropolitan Statistical Area	Willmar	27	70420	MN	Willmar MN	42542
48900	"Wilmington, NC"	Metropolitan Statistical Area	Wilmington	37	74440	NC	Wilmington NC	277969
48940	"Wilmington, OH"	Micropolitan Statistical Area	Wilmington	39	85792	OH	Wilmington OH	41917
48980	"Wilson, NC"	Micropolitan Statistical Area	Wilson	37	74540	NC	Wilson NC	81714
49020	"Winchester, VA-WV"	Metropolitan Statistical Area	Winchester	51	86720	VA	Winchester VA	133836
49080	"Winnemucca, NV"	Micropolitan Statistical Area	Winnemucca	32	84800	NV	Winnemucca NV	17019
49100	"Winona, MN"	Micropolitan Statistical Area	Winona	27	71032	MN	Winona MN	50885
49180	"Winston-Salem, NC"	Metropolitan Statistical Area	Winston-Salem	37	75000	NC	Winston-Salem NC	659330
49220	"Wisconsin Rapids-Marshfield, WI"	Micropolitan Statistical Area	Marshfield	55	49675	WI	Marshfield WI	73435
49220	"Wisconsin Rapids-Marshfield, WI"	Micropolitan Statistical Area	Wisconsin Rapids	55	88200	WI	Wisconsin Rapids WI	73435
49260	"Woodward, OK"	Micropolitan Statistical Area	Woodward	40	82150	OK	Woodward OK	21559
49300	"Wooster, OH"	Micropolitan Statistical Area	Wooster	39	86548	OH	Wooster OH	116063
49340	"Worcester, MA-CT"	Metropolitan Statistical Area	Worcester	25	82000	MA	Worcester MA	935536
49380	"Worthington, MN"	Micropolitan Statistical Area	Worthington	27	71734	MN	Worthington MN	21770
49420	"Yakima, WA"	Metropolitan Statistical Area	Yakima	53	80010	WA	Yakima WA	248830
49460	"Yankton, SD"	Micropolitan Statistical Area	Yankton	46	73060	SD	Yankton SD	22702
49620	"York-Hanover, PA"	Metropolitan Statistical Area	Hanover	42	32448	PA	Hanover PA	442867
49620	"York-Hanover, PA"	Metropolitan Statistical Area	York	42	87048	PA	York PA	442867
49660	"Youngstown-Warren-Boardman, OH-PA"	Metropolitan Statistical Area	Boardman	39	07454	OH	Boardman OH	549885
49660	"Youngstown-Warren-Boardman, OH-PA"	Metropolitan Statistical Area	Warren	39	80892	OH	Warren OH	549885
49660	"Youngstown-Warren-Boardman, OH-PA"	Metropolitan Statistical Area	Youngstown	39	88000	OH	Youngstown OH	549885
49700	"Yuba City, CA"	Metropolitan Statistical Area	Yuba City	06	86972	CA	Yuba City CA	170955
49740	"Yuma, AZ"	Metropolitan Statistical Area	Yuma	04	85540	AZ	Yuma AZ	204275
49780	"Zanesville, OH"	Micropolitan Statistical Area	Zanesville	39	88084	OH	Zanesville OH	86290
49820	"Zapata, TX"	Micropolitan Statistical Area	Zapata	48	80716	TX	Zapata TX	14374
