cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
38420	"Platteville, WI"	Micropolitan Statistical Area	Platteville	55	63250	WI	Platteville WI	52250
38460	"Plattsburgh, NY"	Micropolitan Statistical Area	Plattsburgh	36	58574	NY	Plattsburgh NY	81251
38500	"Plymouth, IN"	Micropolitan Statistical Area	Plymouth	18	60822	IN	Plymouth IN	46857
38540	"Pocatello, ID"	Metropolitan Statistical Area	Pocatello	16	64090	ID	Pocatello ID	83744
38580	"Point Pleasant, WV-OH"	Micropolitan Statistical Area	Point Pleasant	54	64708	WV	Point Pleasant WV	57179
38620	"Ponca City, OK"	Micropolitan Statistical Area	Ponca City	40	59850	OK	Ponca City OK	45366
38660	"Ponce, PR"	Metropolitan Statistical Area	Ponce	72	63820	PR	Ponce PR	317185
38700	"Pontiac, IL"	Micropolitan Statistical Area	Pontiac	17	61015	IL	Pontiac IL	36671
38740	"Poplar Bluff, MO"	Micropolitan Statistical Area	Poplar Bluff	29	59096	MO	Poplar Bluff MO	42951
38780	"Portales, NM"	Micropolitan Statistical Area	Portales	35	59260	NM	Portales NM	19120
38820	"Port Angeles, WA"	Micropolitan Statistical Area	Port Angeles	53	55365	WA	Port Angeles WA	73486
38840	"Port Clinton, OH"	Micropolitan Statistical Area	Port Clinton	39	64150	OH	Port Clinton OH	40877
38860	"Portland-South Portland, ME"	Metropolitan Statistical Area	Portland	23	60545	ME	Portland ME	526295
38860	"Portland-South Portland, ME"	Metropolitan Statistical Area	South Portland	23	71990	ME	South Portland ME	526295
38900	"Portland-Vancouver-Hillsboro, OR-WA"	Metropolitan Statistical Area	Beaverton	41	05350	OR	Beaverton OR	2389228
38900	"Portland-Vancouver-Hillsboro, OR-WA"	Metropolitan Statistical Area	Hillsboro	41	34100	OR	Hillsboro OR	2389228
38900	"Portland-Vancouver-Hillsboro, OR-WA"	Metropolitan Statistical Area	Portland	41	59000	OR	Portland OR	2389228
38900	"Portland-Vancouver-Hillsboro, OR-WA"	Metropolitan Statistical Area	Vancouver	53	74060	OR	Vancouver OR	2389228
38920	"Port Lavaca, TX"	Micropolitan Statistical Area	Port Lavaca	48	58916	TX	Port Lavaca TX	21895
38940	"Port St. Lucie, FL"	Metropolitan Statistical Area	Port St. Lucie	12	58715	FL	Port St. Lucie FL	454846
39020	"Portsmouth, OH"	Micropolitan Statistical Area	Portsmouth	39	64304	OH	Portsmouth OH	76825
39060	"Pottsville, PA"	Micropolitan Statistical Area	Pottsville	42	62432	PA	Pottsville PA	144590
39140	"Prescott, AZ"	Metropolitan Statistical Area	Prescott	04	57380	AZ	Prescott AZ	222255
39220	"Price, UT"	Micropolitan Statistical Area	Price	49	62030	UT	Price UT	20479
39260	"Prineville, OR"	Micropolitan Statistical Area	Prineville	41	59850	OR	Prineville OR	21630
39300	"Providence-Warwick, RI-MA"	Metropolitan Statistical Area	Providence	44	59000	RI	Providence RI	1613070
39300	"Providence-Warwick, RI-MA"	Metropolitan Statistical Area	Warwick	44	74300	RI	Warwick RI	1613070
39340	"Provo-Orem, UT"	Metropolitan Statistical Area	Orem	49	57300	UT	Orem UT	585799
39340	"Provo-Orem, UT"	Metropolitan Statistical Area	Provo	49	62470	UT	Provo UT	585799
39380	"Pueblo, CO"	Metropolitan Statistical Area	Pueblo	08	62000	CO	Pueblo CO	163591
39420	"Pullman, WA"	Micropolitan Statistical Area	Pullman	53	56625	WA	Pullman WA	48177
39460	"Punta Gorda, FL"	Metropolitan Statistical Area	Punta Gorda	12	59200	FL	Punta Gorda FL	173115
39500	"Quincy, IL-MO"	Micropolitan Statistical Area	Quincy	17	62367	IL	Quincy IL	77220
39540	"Racine, WI"	Metropolitan Statistical Area	Racine	55	66000	WI	Racine WI	195080
39580	"Raleigh, NC"	Metropolitan Statistical Area	Raleigh	37	55000	NC	Raleigh NC	1273568
39660	"Rapid City, SD"	Metropolitan Statistical Area	Rapid City	46	52980	SD	Rapid City SD	144134
39700	"Raymondville, TX"	Micropolitan Statistical Area	Raymondville	48	60836	TX	Raymondville TX	21903
39740	"Reading, PA"	Metropolitan Statistical Area	Reading	42	63624	PA	Reading PA	415271
39780	"Red Bluff, CA"	Micropolitan Statistical Area	Red Bluff	06	59892	CA	Red Bluff CA	63308
39820	"Redding, CA"	Metropolitan Statistical Area	Redding	06	59920	CA	Redding CA	179533
39860	"Red Wing, MN"	Micropolitan Statistical Area	Red Wing	27	53620	MN	Red Wing MN	46435
39900	"Reno, NV"	Metropolitan Statistical Area	Reno	32	60600	NV	Reno NV	450890
39940	"Rexburg, ID"	Micropolitan Statistical Area	Rexburg	16	67420	ID	Rexburg ID	51092
39980	"Richmond, IN"	Micropolitan Statistical Area	Richmond	18	64260	IN	Richmond IN	67001
40060	"Richmond, VA"	Metropolitan Statistical Area	Richmond	51	67000	VA	Richmond VA	1271334
40080	"Richmond-Berea, KY"	Micropolitan Statistical Area	Berea	21	05842	KY	Berea KY	104766
40080	"Richmond-Berea, KY"	Micropolitan Statistical Area	Richmond	21	65226	KY	Richmond KY	104766
